Review,Rating
"This is the place you can get best view point for sigiriya, Road is going through the jungle to the mountain top and it's interesting",5
Nothing very special just climbing a mountain. Top view is quite nice. Climbing this to top is difficult. For young people it's ok.,3
"Ancient Buddhist temple built on a huge rock, a popular hike for history & panoramic views.i love this place",5
Don't think twice to visit Pidurangala . If you came to visit Sigiriya don't miss pidurangala. Highly recommended view🤘🤩❤,4
"Its an amazing experience. You have to reach before 6 a.m, thenonly you can see the sunrise.",5
"Hike to Pidurangala rock is one of the most memorable we ever did. We took around 60 minutes to reach on the top. Hike till reclining Buddha is easy and after that it was a bit difficult. Once you reach the top, the view from here makes up …",5
"Marvellous view on the top in here. There are ancient ruins on the way and would like to say kindly, don't vandalise on them. Tough trail to reach there & view is better in mornings and evenings.",5
Better to go early morning,4
This place is amazing and breathtaking view. It takes around 30-40 mins to hike and definitely worth to try. Not really recommend for kids as there are some places that you have to climb rocks. Not too hard though.,5
"Must visit place in Srilanka 🇱🇰 when you going to sigiriya , Dambulla areas..  • Hike is not very difficulty , only the last 300m are challenging. • You have to go through the temple to climb , so wear a proper dress. • No water in top of …",5
Hestorical place and rock mountain 🏔️ Nearest the sigiriya,5
Nice location for photography... full of adventure and calm place...,5
Such a lovely environment. Evening view is so beautiful...,5
"Absolutely marvelous, untouched not so crowded, mesmerizing landscaping. Visit just don't litter.",5
Few inches down from heaven. It's literally the bird's-eye  view from heaven. A place you should visit to admire the beauty of nature and Sri Lankan heritage. 🏞🌄💚we,5
Beautiful place to visit. You have to climb for about 20 - 30 minute. Which wont be a waste. There is a nice view from up there.,5
Amazing adventure. The view is so stunning,5
Definitely need to go there. Last part of the road is a bit tricky. Right shoes needed. But you will be rewarded with best 360 degree view in the world.,5
This is the best place to see Lion Rock without having any interruption. Get ready for high temperature and sun burns...,5
Awesome place to visit with your friends.kind of adventurous root to go top of the place.nice viewing point.next level 30 min hiking experience 😛 It was a hot day but the wind was a bit stronger and the heat was manageable.  The views at …,5
"Pidurangala Rock mirrors the more famous and popular Sigiriya Rock in so many ways. They are both volcanic hills rising out of the Sri Lankan jungle, and they are both richly steeped in history.",5
A lovely hike : ),5
If you're not much of an avid hiker but would like to see the view then go to Pidurangala Rock. Cheaper entrance fee but still gets the job done. You can see the Lion's Rock from here.,4
"Easy hike, 20 minutes climb. Nice view. Sigiriya looks great from up top. Good for nice pictures. 2 risky rocks(slippery during rainy season) to climb, not recommended to go alone during the rainy season.",5
"The hike up to pidurangala rock is only 45 mins  although can be tricky in a few places, Specially for those who aren’t too active in their daily lives but the view up top is absolutely worth the climb.",4
"To get a Best view of Sigiriya, this is a best place.",4
"It is relatively easy hike, but some points you need some extra effort. However, the views are worth. You can drink the view of Sigiriya:the lion rock, and the green carpet of forest. Please remember this is a holy place for Buddhists, so behave well.",4
It's so amazing place for one day trip It's near to Sigiriya Rock,5
Great place to visit. One of the best views you will see in Sri Lanka.,5
Went right around sunset and it was absolutely beautiful! Everybody should do the hike I feel like. Breathtaking view up top makes you forget about everything.,5
"One of the best place near Dambulla and Habarana, easier hike spot, short hike it will take only 20-30 mins , view of Sigiriya is awesome",5
Superb experience,5
Beautiful place to spend leisurely. In weekend it's busy place.,4
Very clean and well maintained public park. Wonderful lake view.,4
This is amazing place. We saw many natural beautist,5
Cool place to spend your evening.but not on crowded days 😁,5
Beautiful place❤️,5
Very beautiful place . If you travel nuwaraeliya this is the best place to go.,5
Very beautiful place to travel 🙃😘😍,5
Amazing place..,5
Nice lake..In the night this place is very silence  and cool,5
Clean and greenery sound well maintain walking track.,5
Superb and cool freedom for all... Boat ride.. Chopper ride.... And fun.. 😀👍,5
A lake with Scenic beuty and wonderful park to walk. Most beautiful at evenings and night,5
Best for evening,5
It was great experience to spend at lake gregory..its really beautiful lake....specialy at the room balcony their was heart touching touching view of Lake Gregory. and i really enjoyed at the boating,5
"Beautiful man made lake  with stunning views, boat ride, jet skies and speed boat rides. you can even get a helicopter ride for rs15000 per person to see around.",5
Nice place... Beautiful scenery and very cold temperature,5
"Lake Gregory, iconic travel destination in Nuwara Eliya. Wonderful place, and with a boat ride you can spend some quality time. Reasonable rates and satisfied with the safety measures.",4
Wow,5
"It 's a nice place, but with is corona pandemic It's not maintained properly.",4
Great place to travel....😍,5
very beautiful view and busy place in sri lanka cool,5
The  best place for family vacations,5
wonderful water scooter experience. temperature is very low around 16 degree Celsius. excellent natural sceneries.,5
This is very great place to spend your leisure  time with your friends or family members.,5
Wonderful view. Cool climate.,5
so attractive,5
Very Cool place. This place full of crowd on sessonal days. In the month of april there will be many special events and exhibitions were held here. Very cool place. Highly recommended who visit to Nuwera eliya should visit this place. Full …,5
We can enjoy,5
Its a nice place...............,5
Good clean and lot of activities around,5
Best relaxing place and unforgettable safe watersports evening time is best time for visit 🔥🔥🔥,5
Beautiful,4
Beautiful ❤️,5
I just love the environment there,5
The Gregory Lake was built by the English Governor William Gregory during 1872 – 1877 on the river Nanu Oya. This picturesque lake is located in the southern area of the Nuwara Eliya town. It is one of the main tourist spots of the town. It …,5
A great place to spend some quality time with your loved ones.,5
"Lake Gregory, sometimes also called Gregory Lake or Gregory Reservoir, is a reservoir in heart of the tea country hill city, Nuwara Eliya, Sri Lanka, Such a one of lovely place in Nuwaraeli.",5
Nice place to spend the leisure time.,5
Great place to visit. There are boat ride activities also. So you can enjoy your time here.,5
Good,5
Heart of Nuwara Eliya,5
Beautiful eyecatching lakeee,5
A ideal place in nuwareliya 👍🏻 definitely every one visits this place 😄,4
Good place to see in Nuwara Eliya,5
Very nice place. Clean well maintained lake. Plenty of boats did not have to wait for turn. Life jackets available and mandatory. View of surrounding from boat is awesome. And nice experience having fun and everything if u gone with group of friends that is nice! hope you enjoy .Must visit.,5
"Cool place to visit , there is soo many things to do , one of the most favorite thing is jetski rides and also there is music events",5
This is very great place to spend your lessuire  time with your friends or family members.The Gregory lake was built in colonial era and it named as Governor's name who in the mean time.In the present this is a tourism place.Every person …,4
Amaizing place,5
Highly recommended place to visit in nuwara eliya and must have a boat ride it's great...,4
